N° Caso CIADI,Nombre del Caso,Estado Demandado,Clasificación Capital,Región CIADI,País Inversor,Clasif. Inversor,Año Inicio,Resultado,Monto Reclamado (USD mill.),Monto Otorgado (USD mill.),% Otorgado/Reclamado,Tipo de Condena,Sector Económico,Decisiones Estatales Impugnadas,Tratado Invocado,Nacionalidad del Inversor,Composición Accionaria,Árbitros,¿Anulación?,Resultado Anulación,Idioma del Laudo,Variables extraídas auto,Link Italaw
ICSID Case No. ARB/12/31,Guardian Fiduciary v. Macedonia,North Macedonia,Importador neto,Europa Occidental,Netherlands,Exportador neto,2012,No - ganó el Estado,20.00 USD,Data not available,,,Tertiary - K - Financial and insurance activities,,"Macedonia, The former Yugoslav Republic of - Netherlands BIT (1998)",Netherlands,100% (wholly owned),"Heiskanen, V. - President; Bucher, A. - Claimant; Stern, B. - Respondent",,,Inglés,Sí,http://www.italaw.com/cases/1970
ICSID Case No. ARB/12/17,IGB v. Spain,Spain,Exportador neto,Europa Occidental,"Venezuela, Bolivarian Republic of",Importador neto,2012,No - ganó el Estado,25.00 EUR (30.70 USD),Data not available,,TJE - Trato Justo y Equitativo,"Tertiary - F - Construction;
Tertiary - L - Real estate activities",,"Spain - Venezuela, Bolivarian Republic of BIT (1995)","Venezuela, Bolivarian Republic of",,"Oreamuno Blanco, R. - Sole arbitrator",,,Español,Sí,http://www.italaw.com/cases/1972
AF/12/6,Lao Holdings v. Laos (I),Lao People's Democratic Republic,Importador neto,Sin clasificar,Netherlands,Exportador neto,2012,No - ganó el Estado,1000.00 USD,Data not available,,Expropiación,"Tertiary - I - Accommodation and food service activities;
Tertiary - R - Arts, entertainment and recreation",,Lao People's Democratic Republic - Netherlands BIT (2003),Netherlands,30% interest,"Binnie, I. - President; Hanotiau, B. - Claimant; Stern, B. - Respondent","Judicial review by national courts;
Judicial review by national courts","Award/decision upheld Judicial review by national courts;
Award/decision upheld Judicial review by national courts",Inglés,Sí,http://www.italaw.com/cases/2020
ICSID Case No. ARB/12/37,Lone Star and others v. Korea,"Korea, Republic of",Exportador neto,Sin clasificar,"Belgium;
Luxembourg",Sin dato,2012,Sí con daños,4700.00 USD,216.00 USD,,,"Tertiary - F - Construction;
Tertiary - K - Financial and insurance activities;
Tertiary - L - Real estate activities",,"BLEU (Belgium-Luxembourg Economic Union) - Korea, Republic of BIT (1974);
BLEU (Belgium-Luxembourg Economic Union) - Korea, Republic of BIT (2006)","Belgium;
Luxembourg",,"Veeder, V. V. - President (replaced); Brower, C. N. - Claimant; Stern, B. - Respondent; Binnie, I. - President",ICSID annulment proceedings,Pending ICSID annulment proceedings,Inglés,Sí,http://www.italaw.com/cases/2022
AF/12/3,Mercer v. Canada,Canada,Exportador neto,América del Norte,United States of America,Exportador neto,2012,No - ganó el Estado,243.00 CAD (231.60 USD),Data not available,,,"Tertiary - D - Electricity, gas, steam and air conditioning supply",,NAFTA (1992),United States of America,100% (wholly owned),"Veeder, V. V. - President; Orrego Vicuña, F. - Claimant; Douglas, Z. - Respondent",,,Inglés,Sí,http://www.italaw.com/cases/1217
AF/12/8,MNSS and RCA v. Montenegro,Montenegro,Importador neto,Europa Occidental,Netherlands,Exportador neto,2012,Sí sin daños,100.00 EUR (114.50 USD),0.00 USD,,TJE - Trato Justo y Equitativo | Expropiación | Libre Transferencia | NMF - Nación Más Favorecida,Secondary - C - Manufacturing,,"Macedonia, The former Yugoslav Republic of - Netherlands BIT (1998)",Netherlands,,"Rigo Sureda, A. - President; Gaillard, E. - Claimant; Stern, B. - Respondent; Schreuer, C. H. - Respondent (replaced)",,,Inglés,Sí,http://www.italaw.com/cases/2028
ICSID Case No. ARB/12/35,Orascom v. Algeria,Algeria,Importador neto,Medio Oriente/Norte África,Luxembourg,Exportador neto,2012,No - ganó el Estado,4000.00 USD,Data not available,,Expropiación | Cláusula Paraguas,Tertiary - J - Information and communication,,Algeria - BLEU (Belgium-Luxembourg Economic Union) BIT (1991),Luxembourg,,"Kaufmann-Kohler, G. - President; van den Berg, A. J. - Claimant; Stern, B. - Respondent",ICSID annulment proceedings,Award/decision upheld ICSID annulment proceedings,Inglés,Sí,http://www.italaw.com/cases/2040
ICSID Case No. ARB/12/29,Ping An v. Belgium,Belgium,Exportador neto,Europa Occidental,China,Importador neto,2012,No - ganó el Estado,871.00 EUR (960.60 USD),Data not available,,TJE - Trato Justo y Equitativo | Expropiación | NMF - Nación Más Favorecida,Tertiary - K - Financial and insurance activities,Nacionalización,"BLEU (Belgium-Luxembourg Economic Union) - China BIT (1984);
BLEU (Belgium-Luxembourg Economic Union) - China BIT (2005)",China,,"Collins, L. - President; Williams, D. A. R. - Claimant; Sands, P. - Respondent",,,Indeterminado,Sí,http://www.italaw.com/cases/3088
AF/12/5,Rusoro Mining v. Venezuela,"Venezuela, Bolivarian Republic of",Importador neto,América del Sur,Canada,Exportador neto,2012,Sí con daños,2318.90 USD,967.80 USD,,TJE - Trato Justo y Equitativo | Expropiación | Protección y Seguridad Plenas | Libre Transferencia,Primary - B - Mining and quarrying,Nacionalización,"Canada - Venezuela, Bolivarian Republic of BIT (1996)",Canada,,"Fernández-Armesto, J. - President; Orrego Vicuña, F. - Claimant; Simma, B. - Respondent",Judicial review by national courts,Award/decision upheld Judicial review by national courts,Inglés,Sí,http://www.italaw.com/cases/2048
ICSID Case No. ARB/12/13,Saint-Gobain v. Venezuela,"Venezuela, Bolivarian Republic of",Importador neto,América del Sur,France,Exportador neto,2012,Sí con daños,115.10 USD,29.60 USD,,Expropiación,Secondary - C - Manufacturing,,"France - Venezuela, Bolivarian Republic of BIT (2001)",France,,"Sachs, K. - President; Brower, C. N. - Claimant; Bottini, G. - Respondent",ICSID annulment proceedings,Discontinued ICSID annulment proceedings,Inglés,Sí,http://www.italaw.com/cases/1784
ICSID Case No. ARB/12/4,Supervision v. Costa Rica,Costa Rica,Importador neto,América Central/Caribe,Spain,Exportador neto,2012,No - ganó el Estado,297.90 EUR (317.50 USD),Data not available,,TJE - Trato Justo y Equitativo | Expropiación | Protección y Seguridad Plenas | NMF - Nación Más Favorecida,"Tertiary - M - Professional, scientific and technical activities",,Costa Rica - Spain BIT (1997),Spain,,"von Wobeser, C. - President; Klock, J. P. - Claimant; Silva Romero, E. - Respondent",,,Inglés,Sí,http://www.italaw.com/cases/2052
ICSID Case No. ARB/12/23,Tenaris and Talta v. Venezuela (II),"Venezuela, Bolivarian Republic of",Importador neto,América del Sur,"Luxembourg;
Portugal",Sin dato,2012,Sí con daños,243.70 USD,137.00 USD,,TJE - Trato Justo y Equitativo | Expropiación,Secondary - C - Manufacturing,Medida fiscal/impositiva | Nacionalización,"Portugal - Venezuela, Bolivarian Republic of BIT (1994);
BLEU (Belgium-Luxembourg Economic Union) - Venezuela, Bolivarian Republic of BIT (1998)","Luxembourg;
Portugal",,"Fernández-Armesto, J. - President; Gómez-Pinzón, E. - Claimant; Stern, B. - Respondent",ICSID annulment proceedings,Award/decision upheld ICSID annulment proceedings,Indeterminado,Sí,http://www.italaw.com/cases/4800
ICSID Case No. ARB/12/1,Tethyan Copper v. Pakistan,Pakistan,Importador neto,Asia Sur-Este/Pacífico,Australia,Sin dato,2012,Sí con daños,8500.00 USD,4087.00 USD,,TJE - Trato Justo y Equitativo | Expropiación,Primary - B - Mining and quarrying,,Australia - Pakistan BIT (1998),Australia,,"Sachs, K. - President; Alexandrov, S. A. - Claimant; Beechey, J. - Claimant (replaced); Hoffmann, L. - Respondent",ICSID annulment proceedings,Discontinued ICSID annulment proceedings,Inglés,Sí,http://www.italaw.com/cases/1631
ICSID Case No. ARB/12/24,Transban v. Venezuela,"Venezuela, Bolivarian Republic of",Importador neto,América del Sur,Barbados,Importador neto,2012,No - ganó el Estado,100.00 USD,Data not available,,TJE - Trato Justo y Equitativo,Tertiary - G - Wholesale and retail trade; repair of motor vehicles and motorcycles,,"Barbados - Venezuela, Bolivarian Republic of BIT (1994)",Barbados,,"Tomka, P. - President; Caron, D. D. - Claimant; Torres Bernárdez, S. - Respondent",,,Inglés,Sí,http://www.italaw.com/cases/2091
ICSID Case No. ARB/12/15,Veolia v. Egypt,Egypt,Importador neto,Medio Oriente/Norte África,France,Exportador neto,2012,No - ganó el Estado,175.00 EUR (202.50 USD),Data not available,,TJE - Trato Justo y Equitativo | Expropiación | NMF - Nación Más Favorecida,"Tertiary - E - Water supply; sewerage, waste management and remediation activities",,Egypt - France BIT (1974),France,,"Yusuf, A. A. - President; Sachs, K. - Claimant; Douglas, Z. - Respondent",,,Inglés,Sí,http://www.italaw.com/cases/2101
ICSID Case No. ARB/11/8,Agility v. Pakistan,Pakistan,Importador neto,Asia Sur-Este/Pacífico,Kuwait,Exportador neto,2011,Sí sin daños,650.00 USD,0.00 USD,,,Tertiary - O - Public administration and defence; compulsory social security,,Kuwait - Pakistan BIT (1983),Kuwait,,"Fortier, L. Y. - President; Brower, C. N. - Claimant; Moollan, S. - Respondent",,,,No — revisar manual,http://www.italaw.com/cases/1786
ICSID Case No. ARB/11/33,Al Tamimi v. Oman,Oman,Importador neto,Medio Oriente/Norte África,United States of America,Exportador neto,2011,No - ganó el Estado,560.00 USD,Data not available,,TJE - Trato Justo y Equitativo | Expropiación | Protección y Seguridad Plenas | Trato Nacional,Primary - B - Mining and quarrying,,Oman - US FTA (2006),United States of America,"49% of the 
shares","Williams, D. A. R. - President; Brower, C. N. - Claimant; Thomas, J. C. - Respondent",,,Inglés,Sí,http://www.italaw.com/cases/1070
ICSID Case No. ARB/11/23,Arif v. Moldova,"Moldova, Republic of",Importador neto,Sin clasificar,France,Exportador neto,2011,Sí con daños,27.90 EUR (36.30 USD),35.10 MDL (2.70 USD); Non-pecuniary relief,,TJE - Trato Justo y Equitativo | Expropiación | Protección y Seguridad Plenas,Tertiary - G - Wholesale and retail trade; repair of motor vehicles and motorcycles,,"France - Moldova, Republic of BIT (1997)",France,,"Cremades, B. M. - President; Hanotiau, B. - Claimant; Knieper, R. - Respondent",,,Inglés,Sí,http://www.italaw.com/cases/1846
ICSID Case No. ARB/11/27,Baggerwerken v. Philippines,Philippines,Importador neto,Asia Sur-Este/Pacífico,Belgium,Exportador neto,2011,Sí con daños,65.00 EUR (91.00 USD),16.00 USD,,Expropiación | NMF - Nación Más Favorecida,"Tertiary - E - Water supply; sewerage, waste management and remediation activities;
Tertiary - E - Water supply; sewerage, waste management and remediation activities",Nacionalización,BLEU (Belgium-Luxembourg Economic Union) - Philippines BIT (1998),Belgium,,"Tercier, P. - President; Alexandrov, S. A. - Claimant; Thomas, J. C. - Respondent",,,Indeterminado,Sí,https://www.italaw.com/cases/5170
ICSID Case No. ARB/11/18,Burimi v. Albania,Albania,Importador neto,Europa Occidental,Italy,Exportador neto,2011,No - ganó el Estado,1034.70 ALL (9.30 USD),,,Expropiación,"Tertiary - R - Arts, entertainment and recreation",Nacionalización,Albania - Italy BIT (1991),Italy,50  percent  of  the  shares,"Price, D. M. - President; Cremades, B. M. - Claimant; Fadlallah, I. - Respondent",,,Inglés,Sí,http://www.italaw.com/cases/2010
AF/11/2,Crystallex v. Venezuela,"Venezuela, Bolivarian Republic of",Importador neto,América del Sur,Canada,Exportador neto,2011,Sí con daños,3160.00 USD,1202.00 USD,,TJE - Trato Justo y Equitativo | Expropiación | Protección y Seguridad Plenas,Primary - B - Mining and quarrying,Denegación de permiso,"Canada - Venezuela, Bolivarian Republic of BIT (1996)",Canada,,"Lévy, L. - President; Gotanda, J. Y. - Claimant; Boisson de Chazournes, L. - Respondent; Feliciano, F. P. - Respondent (replaced)",Judicial review by national courts,Award/decision upheld Judicial review by national courts,Inglés,Sí,http://www.italaw.com/cases/1530
ICSID Case No. ARB/11/12,Fraport v. Philippines (II),Philippines,Importador neto,Asia Sur-Este/Pacífico,Germany,Exportador neto,2011,No - ganó el Estado,425.00 USD,,,,Tertiary - H - Transportation and storage,,Germany - Philippines BIT (1997),Germany,,"Bernardini, P. - President; Alexandrov, S. A. - Claimant; van den Berg, A. J. - Respondent",,,,No — revisar manual,http://www.italaw.com/cases/2836
ICSID Case No. ARB/11/31,Gambrinus v. Venezuela,"Venezuela, Bolivarian Republic of",Importador neto,América del Sur,Barbados,Importador neto,2011,No - ganó el Estado,150.40 USD,Data not available,,TJE - Trato Justo y Equitativo | Expropiación,Secondary - C - Manufacturing,Nacionalización,"Barbados - Venezuela, Bolivarian Republic of BIT (1994)",Barbados,,"Bernardini, P. - President; Lalonde, M. - Claimant; Dupuy, P.-M. - Respondent",ICSID annulment proceedings,Award/decision upheld ICSID annulment proceedings,Inglés,Sí,https://www.italaw.com/cases/6290
ICSID Case No. ARB/11/20,Garanti Koza v. Turkmenistan,Turkmenistan,Importador neto,Este Europa/Asia Central,United Kingdom,Importador neto,2011,Sí con daños,46.10 USD,2.50 USD,,TJE - Trato Justo y Equitativo | Expropiación | Protección y Seguridad Plenas | Cláusula Paraguas,Tertiary - F - Construction,,"Turkmenistan - United Kingdom BIT (1995);
Turkey - Turkmenistan BIT (1992)",United Kingdom,,"Townsend, J. M. - President; Boisson de Chazournes, L. - Claimant; Lambrou, G. C. - Respondent",,,Inglés,Sí,http://www.italaw.com/cases/2176
ICSID Case No. ARB/11/1,Highbury v. Venezuela (I),"Venezuela, Bolivarian Republic of",Importador neto,América del Sur,"Netherlands;
Panama",Sin dato,2011,No - ganó el Estado,633.00 USD,,,Expropiación,Primary - B - Mining and quarrying,,"Netherlands - Venezuela, Bolivarian Republic of BIT (1991)","Netherlands;
Panama",,"Barros Bourie, E. - President; Tawil, G. S. - Claimant; von Wobeser, C. - Respondent",ICSID annulment proceedings,Award/decision upheld ICSID annulment proceedings,Indeterminado,Sí,http://www.italaw.com/cases/2250
ICSID Case No. ARB/11/19,Koch Minerals v. Venezuela,"Venezuela, Bolivarian Republic of",Importador neto,América del Sur,Switzerland,Exportador neto,2011,Sí con daños,672.40 USD,325.10 USD,,Expropiación,Secondary - C - Manufacturing,Medida fiscal/impositiva,"Switzerland - Venezuela, Bolivarian Republic of BIT (1993)",Switzerland,,"Veeder, V. V. - President; Lalonde, M. - Claimant; Feliciano, F. P. - Respondent (replaced); Douglas, Z. - Respondent",ICSID annulment proceedings,Award/decision upheld ICSID annulment proceedings,Inglés,Sí,http://www.italaw.com/cases/2469
ICSID Case No. ARB/11/17,Levy and Gremcitel v. Peru,Peru,Importador neto,América del Sur,France,Exportador neto,2011,No - ganó el Estado,41000.00 USD,,,,Tertiary - L - Real estate activities,,France - Peru BIT (1993),France,,"Kaufmann-Kohler, G. - President; Zuleta, E. - Claimant; Vinuesa, R. E. - Respondent",,,Inglés,Sí,http://www.italaw.com/cases/2556
ICSID Case No. ARB/11/5,Longreef v. Venezuela,"Venezuela, Bolivarian Republic of",Importador neto,América del Sur,Netherlands,Exportador neto,2011,Sí con daños,500.00 USD,43.00 USD,,TJE - Trato Justo y Equitativo | Expropiación,Secondary - C - Manufacturing,Rescisión/terminación de contrato | Medida fiscal/impositiva | Nacionalización,"Netherlands - Venezuela, Bolivarian Republic of BIT (1991)",Netherlands,,"Edward, D. A. O. - President; Gómez-Pinzón, E. - Claimant; Mourre, A. - Respondent (replaced); Malintoppi, L. - Respondent",ICSID annulment proceedings,Unknown ICSID annulment proceedings,Indeterminado,Sí,http://italaw.com/cases/2406
ICSID Case No. ARB/11/24,Mamidoil v. Albania,Albania,Importador neto,Europa Occidental,Greece,Importador neto,2011,No - ganó el Estado,23.00 USD,Data not available,,TJE - Trato Justo y Equitativo | Expropiación,Primary - B - Mining and quarrying,,"Albania - Greece BIT (1991);
The Energy Charter Treaty (1994)",Greece,,"Knieper, R. - President; Hammond, S. A. - Claimant; Banifatemi, Y. - Respondent",ICSID annulment proceedings,Discontinued ICSID annulment proceedings,Inglés,Sí,http://www.italaw.com/cases/3003
ICSID Case No. ARB/11/7,National Gas v. Egypt,Egypt,Importador neto,Medio Oriente/Norte África,United Arab Emirates,Exportador neto,2011,No - ganó el Estado,36.00 USD,,,Expropiación | Cláusula Paraguas,Tertiary - H - Transportation and storage,,Egypt - United Arab Emirates BIT (1997),United Arab Emirates,90%  of  the  shares,"Veeder, V. V. - President; Fortier, L. Y. - Claimant; Stern, B. - Respondent",,,Inglés,Sí,http://www.italaw.com/cases/2494
AF/11/1,Nova Scotia Power v. Venezuela (II),"Venezuela, Bolivarian Republic of",Importador neto,América del Sur,Canada,Exportador neto,2011,No - ganó el Estado,180.00 USD,,,TJE - Trato Justo y Equitativo | Cláusula Paraguas,Primary - B - Mining and quarrying,,"Canada - Venezuela, Bolivarian Republic of BIT (1996)",Canada,,"van Houtte, H. - President; Williams, D. A. R. - Claimant; Vinuesa, R. E. - Respondent",,,Inglés,Sí,http://www.italaw.com/cases/2532
ICSID Case No. ARB/11/25,OIEG v. Venezuela,"Venezuela, Bolivarian Republic of",Importador neto,América del Sur,Netherlands,Exportador neto,2011,Sí con daños,929.50 USD,372.40 USD,,TJE - Trato Justo y Equitativo | Expropiación,Secondary - C - Manufacturing,Medidas de emergencia económica (pesificación/corralito),"Netherlands - Venezuela, Bolivarian Republic of BIT (1991)",Netherlands,,"Fernández-Armesto, J. - President; Orrego Vicuña, F. - Claimant; Mourre, A. - Respondent",ICSID annulment proceedings,Award/decision upheld ICSID annulment proceedings,Indeterminado,Sí,http://www.italaw.com/cases/2979
ICSID Case No. ARB/11/13,Rafat v. Indonesia,Indonesia,Importador neto,Asia Sur-Este/Pacífico,United Kingdom,Importador neto,2011,No - ganó el Estado,75.00 USD,,,NMF - Nación Más Favorecida,Tertiary - K - Financial and insurance activities,,Indonesia - United Kingdom BIT (1976),United Kingdom,,"Griffith, G. - President; Donoghue, J. E. - Claimant; Sornarajah, M. - Respondent",ICSID annulment proceedings,Discontinued ICSID annulment proceedings,Inglés,Sí,http://www.italaw.com/cases/1188
AF/11/3,Ryan and others v. Poland,Poland,Importador neto,Europa Occidental,United States of America,Exportador neto,2011,No - ganó el Estado,120.30 USD,Data not available,,TJE - Trato Justo y Equitativo | Expropiación | Protección y Seguridad Plenas,Secondary - C - Manufacturing,,Poland - United States of America BIT (1990),United States of America,,"Khan, M. A. - President; Orrego Vicuña, F. - Claimant; von Wobeser, C. - Respondent",Judicial review by national courts,Award/decision upheld Judicial review by national courts,Inglés,Sí,http://www.italaw.com/cases/1734
ICSID Case No. ARB/11/26,Tenaris and Talta v. Venezuela (I),"Venezuela, Bolivarian Republic of",Importador neto,América del Sur,"Portugal;
Luxembourg",Sin dato,2011,Sí con daños,299.30 USD,87.30 USD,,TJE - Trato Justo y Equitativo | Expropiación,Secondary - C - Manufacturing,Nacionalización,"Portugal - Venezuela, Bolivarian Republic of BIT (1994);
BLEU (Belgium-Luxembourg Economic Union) - Venezuela, Bolivarian Republic of BIT (1998)","Portugal;
Luxembourg",,"Beechey, J. - President; Kessler, J. L. - Claimant; Landau, T. - Respondent",ICSID annulment proceedings,Award/decision upheld ICSID annulment proceedings,Inglés,Sí,http://www.italaw.com/cases/2084
ICSID Case No. ARB/11/28,Tulip Real Estate v. Turkey,Türkiye,Importador neto,Sin clasificar,Netherlands,Exportador neto,2011,No - ganó el Estado,450.00 USD,,,TJE - Trato Justo y Equitativo | Expropiación | Protección y Seguridad Plenas | Cláusula Paraguas,Tertiary - L - Real estate activities,,Netherlands - Turkey BIT (1986),Netherlands,100% (wholly owned),"Griffith, G. - President; Jaffe, M. E. - Claimant; Knieper, R. - Respondent",ICSID annulment proceedings,Award/decision upheld ICSID annulment proceedings,Inglés,Sí,http://www.italaw.com/cases/1124
ICSID Case No. ARB/11/22,Vigotop v. Hungary,Hungary,Importador neto,Europa Occidental,Cyprus,Exportador neto,2011,No - ganó el Estado,312.60 EUR (425.60 USD),Data not available,,Expropiación,Tertiary - L - Real estate activities,Rescisión/terminación de contrato,Cyprus - Hungary BIT (1989),Cyprus,,"Sachs, K. - President; Bishop, D. - Claimant; Heiskanen, V. - Respondent",,,Inglés,Sí,http://www.italaw.com/cases/2768
ICSID Case No. ARB/10/16,AES v. Kazakhstan,Kazakhstan,Importador neto,Este Europa/Asia Central,"United States of America;
Netherlands",Sin dato,2010,Sí sin daños,1290.00 USD,0.00 USD,,TJE - Trato Justo y Equitativo | Cláusula Paraguas,"Tertiary - D - Electricity, gas, steam and air conditioning supply",,"Kazakhstan - United States of America BIT (1992);
The Energy Charter Treaty (1994)","United States of America;
Netherlands",,"Tercier, P. - President; Born, G. B. - President (replaced); Sachs, K. - Claimant; Lowe, V. - Respondent",,,Inglés,Sí,http://www.italaw.com/cases/2288
ICSID Case No. ARB/10/13,Awdi v. Romania,Romania,Importador neto,Europa Occidental,United States of America,Exportador neto,2010,Sí con daños,Data not available,7.70 EUR (8.60 USD),,Expropiación,"Tertiary - J - Information and communication;
Tertiary - L - Real estate activities",Nacionalización,Romania - United States of America BIT (1992),United States of America,,"Bernardini, P. - President; Gharavi, H. G. - Claimant; Dolzer, R. - Respondent",,,Inglés,Sí,http://www.italaw.com/cases/101
ICSID Case No. ARB/10/25,Border Timbers and others v. Zimbabwe,Zimbabwe,Importador neto,África Subsahariana,Switzerland,Exportador neto,2010,Sí con daños,345.40 USD,125.00 USD,,,"Primary - A - Agriculture, forestry and fishing",,Switzerland - Zimbabwe BIT (1996),Switzerland,,"Fortier, L. Y. - President; Williams, D. A. R. - Claimant; Hwang, M. - Respondent; Chen, A. - Respondent (replaced); Mutharika, A. P. - Respondent (replaced)",ICSID annulment proceedings,Award/decision upheld ICSID annulment proceedings,Indeterminado,Sí,http://www.italaw.com/cases/1470
ICSID Case No. ARB/10/2,Convial Callao v. Peru,Peru,Importador neto,América del Sur,Argentina,Importador neto,2010,No - ganó el Estado,105.00 USD,,,TJE - Trato Justo y Equitativo | Expropiación | NMF - Nación Más Favorecida,Tertiary - F - Construction,,Argentina - Peru BIT (1994),Argentina,,"Derains, Y. - President; Zuleta, E. - Claimant; Stern, B. - Respondent",,,Indeterminado,Sí,http://www.italaw.com/cases/2078
ICSID Case No. ARB/10/17,De Levi v. Peru,Peru,Importador neto,América del Sur,France,Exportador neto,2010,No - ganó el Estado,6989.00 USD,,,TJE - Trato Justo y Equitativo | Expropiación | Protección y Seguridad Plenas | Trato Nacional,Tertiary - K - Financial and insurance activities,,France - Peru BIT (1993),France,,"Oreamuno Blanco, R. - President; Morales Godoy, J. - Claimant; Hanotiau, B. - Respondent",ICSID annulment proceedings,Discontinued ICSID annulment proceedings,Inglés,Sí,http://www.italaw.com/cases/2444
ICSID Case No. ARB/10/22,Dede v. Romania,Romania,Importador neto,Europa Occidental,Türkiye,Importador neto,2010,No - ganó el Estado,2.00 EUR (2.60 USD),,,Expropiación,Secondary - C - Manufacturing,,Romania - Turkey BIT (1991),Türkiye,,"Park, W. W. - President; Herzog, N. - Claimant; Stern, B. - Respondent",,,Inglés,Sí,http://www.italaw.com/cases/2219
ICSID Case No. ARB/10/19,Flughafen Zürich v. Venezuela,"Venezuela, Bolivarian Republic of",Importador neto,América del Sur,"Switzerland;
Chile",Sin dato,2010,Sí con daños,79.00 CHF (82.20 USD),19.40 USD,,TJE - Trato Justo y Equitativo | Expropiación,"Tertiary - H - Transportation and storage;
Tertiary - H - Transportation and storage",Cambio regulatorio | Medida fiscal/impositiva | Nacionalización,"Switzerland - Venezuela, Bolivarian Republic of BIT (1993);
Chile - Venezuela, Bolivarian Republic of BIT (1993)","Switzerland;
Chile",,"Fernández-Armesto, J. - President; Álvarez, H. C. - Claimant; Vinuesa, R. E. - Respondent",ICSID annulment proceedings,Award/decision upheld ICSID annulment proceedings,Indeterminado,Sí,http://www.italaw.com/cases/1524
ICSID Case No. ARB/10/24,İçkale v. Turkmenistan,Turkmenistan,Importador neto,Este Europa/Asia Central,Türkiye,Importador neto,2010,No - ganó el Estado,566.70 USD,Data not available,,TJE - Trato Justo y Equitativo | Expropiación | Protección y Seguridad Plenas | Cláusula Paraguas | NMF - Nación Más Favorecida,Tertiary - F - Construction,,Turkey - Turkmenistan BIT (1992),Türkiye,,"Heiskanen, V. - President; Lamm, C. B. - Claimant; Sands, P. - Respondent; Nariman, F. S. - Respondent (replaced)",,,Inglés,Sí,http://italaw.com/cases/2560
ICSID Case No. ARB/10/1,Kılıç v. Turkmenistan,Turkmenistan,Importador neto,Este Europa/Asia Central,Türkiye,Importador neto,2010,No - ganó el Estado,300.00 USD,,,Expropiación,Tertiary - F - Construction,,Turkey - Turkmenistan BIT (1992),Türkiye,,"Rowley, J. W. - President; Gaillard, E. - President (replaced); Park, W. W. - Claimant; Sands, P. - Respondent",ICSID annulment proceedings,Award/decision upheld ICSID annulment proceedings,Indeterminado,Sí,http://www.italaw.com/cases/1220
ICSID Case No. ARB/10/3,Metal-Tech v. Uzbekistan,Uzbekistan,Exportador neto,Este Europa/Asia Central,Israel,Importador neto,2010,No - ganó el Estado,173.90 USD,,,TJE - Trato Justo y Equitativo | Expropiación,Secondary - C - Manufacturing,,Israel - Uzbekistan BIT (1994),Israel,,"Kaufmann-Kohler, G. - President; Townsend, J. M. - Claimant; von Wobeser, C. - Respondent",,,Indeterminado,Sí,http://italaw.com/cases/2272
AF/10/1,Minnotte and Lewis v. Poland,Poland,Importador neto,Europa Occidental,United States of America,Exportador neto,2010,No - ganó el Estado,35.00 USD,,,TJE - Trato Justo y Equitativo | Expropiación | Cláusula Paraguas,Tertiary - Q - Human health and social work activities,,Poland - United States of America BIT (1990),United States of America,002 Share,"Lowe, V. - President; Mendelson, M. - Claimant; Silva Romero, E. - Respondent",,,Inglés,Sí,http://www.italaw.com/cases/707
ICSID Case No. ARB/10/7,Philip Morris v. Uruguay,Uruguay,Importador neto,América del Sur,Switzerland,Exportador neto,2010,No - ganó el Estado,22.30 USD,Data not available,,TJE - Trato Justo y Equitativo | Expropiación | Cláusula Paraguas,Secondary - C - Manufacturing,,Switzerland - Uruguay BIT (1988),Switzerland,,"Bernardini, P. - President; Born, G. B. - Claimant; Crawford, J. R. - Respondent",,,Inglés,Sí,http://www.italaw.com/cases/460
ICSID Case No. ARB/10/6,RSM v. Grenada,Grenada,Importador neto,Sin clasificar,United States of America,Exportador neto,2010,No - ganó el Estado,500.00 USD,,,TJE - Trato Justo y Equitativo | Expropiación | Protección y Seguridad Plenas | NMF - Nación Más Favorecida,Primary - B - Mining and quarrying,Nacionalización,Grenada - United States of America BIT (1986),United States of America,,"Rowley, J. W. - President; Nottingham, E. - Claimant; Tercier, P. - Respondent",,,Inglés,Sí,http://www.italaw.com/cases/937
ICSID Case No. ARB/10/12,SCB v. Tanzania,"Tanzania, United Republic of",Importador neto,Sin clasificar,United Kingdom,Importador neto,2010,No - ganó el Estado,118.60 USD,,,TJE - Trato Justo y Equitativo | Expropiación,"Tertiary - D - Electricity, gas, steam and air conditioning supply",,United Republic of Tanzania - United Kingdom BIT (1994),United Kingdom,,"Park, W. W. - President; Pryles, M. C. - Claimant; Legum, B. - Respondent",ICSID annulment proceedings,Pending ICSID annulment proceedings,Inglés,Sí,http://www.italaw.com/cases/1046
ICSID Case No. ARB/10/23,TECO v. Guatemala,Guatemala,Importador neto,América Central/Caribe,United States of America,Exportador neto,2010,Sí con daños,243.60 USD,21.10 USD,,TJE - Trato Justo y Equitativo | Expropiación,"Tertiary - D - Electricity, gas, steam and air conditioning supply",Cambio regulatorio | Reducción/renegociación de tarifas,CAFTA - DR (2004),United States of America,,"Mourre, A. - President; Park, W. W. - Claimant; von Wobeser, C. - Respondent; Oreamuno Blanco, R. - Respondent (replaced)","ICSID annulment proceedings;
ICSID resubmission proceedings;
ICSID annulment proceedings","Award/decision partially annulled ICSID annulment proceedings;
Decided in favour of the investor ICSID resubmission proceedings;
Discontinued ICSID annulment proceedings",Indeterminado,Sí,http://www.italaw.com/cases/1629
